Rate,Weight,Time,ell,p,p_x,p_y,N
0.203,0.09784600000000002,0.014135887516038677,0.0153548887,0.00286261806,0.002119780697,0.0010920075659000001,1.0
0.204,0.098328,0.014272225342260502,0.0160420584,0.00301471137,0.002233615506,0.0011511984316,1.0
0.205,0.09881000000000001,0.014417695219787426,0.016144626,0.00304659243,0.002243732691,0.0011490853343,1.0
0.206,0.099292,0.014557926262102443,0.0162661167,0.00306366322,0.002266576237,0.0011668766985,1.0
0.207,0.099774,0.014702020683602228,0.0163438181,0.00307816531,0.002277280535,0.001172288557,1.0
0.208,0.10025600000000001,0.014847421224500147,0.0165060472,0.00312505711,0.002300866525,0.0011788582212,1.0
0.209,0.10073800000000001,0.014993973659201779,0.0170828004,0.00324142226,0.002397648879,0.0012375287507,1.0
0.21,0.10122,0.015138770357063205,0.0171985058,0.00327564587,0.0024157239640000003,0.0012432227179,1.0
0.211,0.101746,0.01528575124200377,0.0172798493,0.00328750974,0.002427850728,0.0012513207659,1.0
0.212,0.102272,0.015434331516702614,0.0174498501,0.00332647987,0.002453559895,0.00126344703,1.0
0.213,0.102798,0.015582527523917606,0.0176937115,0.00338030795,0.002494141979,0.0012858935963,1.0
0.214,0.103324,0.015731861902871586,0.0178609042,0.00342287713,0.002520089617,0.0012968601115,1.0
0.215,0.10385,0.01588258727637964,0.0179419692,0.00344604141,0.00253088771,0.0012991828976,1.0
0.216,0.104376,0.016033014371731373,0.0183136081,0.00351884591,0.0025945550959999997,0.0013391625727999998,1.0
0.217,0.104902,0.0161848168206392,0.0184723202,0.00355535855,0.00261946221,0.0013515052946,1.0
0.218,0.105428,0.01633738555634908,0.0188089242,0.00363691455,0.002675151556,0.0013793882941,1.0
0.219,0.10595399999999999,0.016491172703062378,0.0184951948,0.00355352778,0.002618255203,0.0013500990997,1.0
0.22,0.10647999999999999,0.016645076999168496,0.0191699235,0.0037266886,0.0027320043000000002,0.0014049709488000001,1.0
0.221,0.106941,0.016799750851931118,0.0192520892,0.00373551161,0.002743958573,0.0014140708376000001,1.0
0.222,0.10740199999999998,0.016956125433964797,0.0193459218,0.00375875149,0.00275617757,0.0014177036903,1.0
0.223,0.10786299999999999,0.017113401018679985,0.0193331486,0.00375899691,0.002750174079,0.0014105648948,1.0
0.224,0.10832399999999999,0.017270076770561027,0.0194849942,0.00376916331,0.0027774680499999998,0.0014361009234,1.0
0.225,0.10878499999999999,0.01742755248496447,0.0199057845,0.0038867694,0.00284560895,0.0014631291925,1.0
0.226,0.109246,0.01758602455672193,0.0203442128,0.00398090039,0.002920903779,0.0015075981898,1.0
0.227,0.10970699999999999,0.01774647496760292,0.0205883035,0.00402460982,0.002961892375,0.0015345969287,1.0
0.228,0.11016799999999999,0.017905985076098124,0.0205989213,0.00403420985,0.002959830804,0.0015280223801,1.0
0.229,0.11062899999999999,0.018066856020064352,0.0209843727,0.00412527914,0.0030253238850000003,0.0015630326109,1.0
0.23,0.11109,0.018228847587880254,0.0211102547,0.00415283995,0.003044310696,0.0015723652276,1.0
0.231,0.111597,0.01839192316325665,0.0211466163,0.00415439856,0.003048190179,0.0015755306127999999,1.0
0.232,0.112104,0.01855531533031356,0.0217626237,0.00430310442,0.0031551066800000003,0.0016331342469,1.0
0.233,0.112611,0.01872213206063584,0.0222669189,0.00441692959,0.0032440919550000002,0.0016862125764,1.0
0.234,0.113118,0.01888548146053115,0.0219964412,0.00436990496,0.0031887752299999995,0.0016424375707999998,1.0
0.235,0.11362499999999999,0.01905249903962463,0.0220954112,0.0043871195,0.00320180434,0.0016494903195999999,1.0
0.236,0.114132,0.019218958498221916,0.0228018874,0.0045465594,0.0033295397999999997,0.0017255696292999998,1.0
0.237,0.11463899999999999,0.019384985354677635,0.0227088987,0.00452667173,0.003308169915,0.0017098082495,1.0
0.238,0.115146,0.019553368736042884,0.0228915048,0.00456681903,0.0033380309549999997,0.0017261498545999999,1.0
0.239,0.11565299999999999,0.019726489831746307,0.0221529014,0.00439234647,0.003200876575,0.0016448174325,1.0
0.24,0.11616,0.019893307424521986,0.0234569128,0.00470964059,0.0034317571550000004,0.0017713343904000001,1.0
0.241,0.116619,0.020063373532116915,0.0236585935,0.00474660218,0.0034665032,0.0017942903308,1.0
0.242,0.117078,0.020235116303288746,0.0239078385,0.00480244242,0.00350848596,0.0018177996124,1.0
0.243,0.117537,0.020407422444775804,0.0241525136,0.00486407611,0.003548537145,0.0018366594997,1.0
0.244,0.117996,0.020580768518182024,0.0244226794,0.0049240334,0.00359462428,0.0018629184215,1.0
0.245,0.11845499999999999,0.020758077918778612,0.0235472555,0.00471337326,0.0034305005999999997,0.0017656576357999998,1.0
0.246,0.11891399999999999,0.02092948753667776,0.0248205562,0.00502085165,0.003658915815,0.0018940628229,1.0
0.247,0.11937299999999999,0.021105368833792812,0.0251324753,0.00508723911,0.003713233265,0.0019268751401,1.0
0.248,0.119832,0.021281753308646133,0.0253100163,0.0051337262,0.00374106774,0.001938452992,1.0
0.249,0.120291,0.021459357063428545,0.0253389618,0.00513857266,0.00374186552,0.00193682159,1.0
0.25,0.12075,0.021637665927006264,0.0258940046,0.00527557081,0.003839479715,0.0019893238522,1.0
0.251,0.121285,0.021816133352856253,0.0260514653,0.00531206189,0.003865589975,0.0020030946654,1.0
0.252,0.12182000000000001,0.02199599293038016,0.0262103673,0.00534854836,0.003891444,0.0020166077253,1.0
0.253,0.12235499999999999,0.022178588695744905,0.0273738756,0.00563878734,0.00410405192,0.0021353914936,1.0
0.254,0.12289,0.022358554356891703,0.0265642472,0.00544179111,0.0039484263250000005,0.0020415507639,1.0
0.255,0.123425,0.02254145185051837,0.0271465197,0.00559935735,0.0040511897049999995,0.0020918544053,1.0
0.256,0.12396000000000001,0.022723933279127348,0.027535853,0.00566717949,0.004123120045,0.0021435156569,1.0
